2025-06-10 13:19:53 [main] WARN  org.testng.xml.TestNGContentHandler - It is strongly recommended to add "<!DOCTYPE suite SYSTEM "https://testng.org/testng-1.1.dtd" >" at the top of the suite file [C:\Users\rajum\eclipse-workspace\ToolsQA\SeleniumAutomotionSVCUATIB\testng.xml] otherwise TestNG may fail or not work as expected.
2025-06-10 13:20:26 [main] INFO  a.pages.PaymentHistoryPage - Clicking element: By.xpath: //span[contains(@class, 'font-semibold') and text()='DXFCHGV']
2025-06-10 13:20:27 [main] INFO  a.pages.PaymentHistoryPage - Waiting for spinner to disappear...
2025-06-10 13:20:27 [main] INFO  a.pages.PaymentHistoryPage - Spinner disappeared.
2025-06-10 13:20:27 [main] INFO  a.pages.PaymentHistoryPage - ✅ Payee selected successfully.
2025-06-10 13:20:27 [main] INFO  a.pages.PaymentHistoryPage - Clicking with JS
2025-06-10 13:20:27 [main] INFO  a.pages.PaymentHistoryPage - 
🔸 Test Case 1: Blank Amount
2025-06-10 13:20:27 [main] INFO  a.pages.PaymentHistoryPage - Waiting for spinner to disappear...
2025-06-10 13:20:29 [main] INFO  a.pages.PaymentHistoryPage - Spinner disappeared.
2025-06-10 13:20:29 [main] INFO  a.pages.PaymentHistoryPage - Clicking element: By.xpath: (//span[text()='Proceed'])[1]
2025-06-10 13:20:29 [main] INFO  a.pages.PaymentHistoryPage - Waiting for spinner to disappear...
2025-06-10 13:20:29 [main] INFO  a.pages.PaymentHistoryPage - Spinner disappeared.
2025-06-10 13:20:30 [main] INFO  a.pages.PaymentHistoryPage - ✅ Correct error displayed: 'Amount is required'
2025-06-10 13:20:30 [main] INFO  a.pages.PaymentHistoryPage - 
🔸 Test Case 2: Special Characters (@#$%)
2025-06-10 13:20:30 [main] INFO  a.pages.PaymentHistoryPage - ✅ Special characters were blocked as expected.
2025-06-10 13:20:30 [main] INFO  a.pages.PaymentHistoryPage - 
🔸 Test Case 3: Alphanumeric Characters (123abc)
2025-06-10 13:20:30 [main] INFO  a.pages.PaymentHistoryPage - ✅ Field blocked alphanumeric input completely.
2025-06-10 13:20:30 [main] INFO  a.pages.PaymentHistoryPage - 
🔸 Test Case 4: Zero Amount (0)
2025-06-10 13:20:30 [main] INFO  a.pages.PaymentHistoryPage - Waiting for spinner to disappear...
2025-06-10 13:20:30 [main] INFO  a.pages.PaymentHistoryPage - Spinner disappeared.
2025-06-10 13:20:30 [main] INFO  a.pages.PaymentHistoryPage - Clicking element: By.xpath: (//span[text()='Proceed'])[1]
2025-06-10 13:20:31 [main] INFO  a.pages.PaymentHistoryPage - Waiting for spinner to disappear...
2025-06-10 13:20:31 [main] INFO  a.pages.PaymentHistoryPage - Spinner disappeared.
2025-06-10 13:20:31 [main] INFO  a.pages.PaymentHistoryPage - ✅ Correct validation message shown: 'Minimum amount is 1.00'
2025-06-10 13:20:31 [main] INFO  a.pages.PaymentHistoryPage - 
🔸 Test Case 5: Amount Greater Than Account Balance
2025-06-10 13:20:31 [main] INFO  a.pages.PaymentHistoryPage - Fetched account balance: ₹2791942
2025-06-10 13:20:31 [main] INFO  a.pages.PaymentHistoryPage - Attempting to enter over-limit amount: ₹2792442
2025-06-10 13:20:32 [main] INFO  a.pages.PaymentHistoryPage - ✅ Over-limit amount successfully typed: '2792442'
2025-06-10 13:20:33 [main] INFO  a.pages.PaymentHistoryPage - ✅ 'Insufficient balance' popup displayed.
2025-06-10 13:20:33 [main] INFO  a.pages.PaymentHistoryPage - ✅ Clicked 'Okay' button on popup.
2025-06-10 13:20:33 [main] INFO  a.pages.PaymentHistoryPage - 
🔸 Test Case 6: Leave Remarks Field Blank and Proceed
2025-06-10 13:20:33 [main] INFO  a.pages.PaymentHistoryPage - ✅ Remarks field cleared (left blank).
2025-06-10 13:20:33 [main] INFO  a.pages.PaymentHistoryPage - 🟦 [STEP] Selecting NEFT option
2025-06-10 13:20:33 [main] INFO  a.pages.PaymentHistoryPage - Attempting to click NEFT option (Attempt 1)
2025-06-10 13:20:34 [main] INFO  a.pages.PaymentHistoryPage - 🔄 NEFT clicked via Actions.
2025-06-10 13:20:34 [main] WARN  a.pages.PaymentHistoryPage - ⚠️ NEFT not selected yet. Retrying...
2025-06-10 13:20:34 [main] INFO  a.pages.PaymentHistoryPage - Attempting to click NEFT option (Attempt 2)
2025-06-10 13:20:35 [main] INFO  a.pages.PaymentHistoryPage - 🔄 NEFT clicked via Actions.
2025-06-10 13:20:36 [main] INFO  a.pages.PaymentHistoryPage - ✅ NEFT option selected successfully.
2025-06-10 13:20:36 [main] INFO  a.pages.PaymentHistoryPage - Waiting for spinner to disappear...
2025-06-10 13:20:36 [main] INFO  a.pages.PaymentHistoryPage - Spinner disappeared.
2025-06-10 13:20:36 [main] INFO  a.pages.PaymentHistoryPage - Clicking element: By.xpath: (//span[text()='Proceed'])[1]
2025-06-10 13:20:36 [main] INFO  a.pages.PaymentHistoryPage - Waiting for spinner to disappear...
2025-06-10 13:20:36 [main] INFO  a.pages.PaymentHistoryPage - Spinner disappeared.
2025-06-10 13:20:36 [main] INFO  a.pages.PaymentHistoryPage - Waiting for spinner to disappear...
2025-06-10 13:20:36 [main] INFO  a.pages.PaymentHistoryPage - Spinner disappeared.
2025-06-10 13:20:36 [main] INFO  a.pages.PaymentHistoryPage - Clicking element: By.xpath: //span[text()='Confirm']/ancestor::button
2025-06-10 13:20:36 [main] INFO  a.pages.PaymentHistoryPage - Waiting for spinner to disappear...
2025-06-10 13:20:36 [main] INFO  a.pages.PaymentHistoryPage - Spinner disappeared.
2025-06-10 13:20:37 [main] INFO  a.pages.PaymentHistoryPage - ✅ [SUCCESS] OTP entered.
2025-06-10 13:20:37 [main] INFO  a.pages.PaymentHistoryPage - Waiting for any overlay/spinner to disappear before final Proceed.
2025-06-10 13:20:37 [main] INFO  a.pages.PaymentHistoryPage - Clicking with JS
2025-06-10 13:20:37 [main] INFO  a.pages.PaymentHistoryPage - ✅ [SUCCESS] Final Proceed clicked after OTP.
2025-06-10 13:20:40 [main] INFO  a.pages.PaymentHistoryPage - Clicking with JS
2025-06-10 13:20:40 [main] INFO  a.pages.PaymentHistoryPage - ✅ [SUCCESS] Close button clicked.
2025-06-10 13:20:40 [main] INFO  a.pages.PaymentHistoryPage - ✅ Transaction successful without remarks as expected. No error displayed.
2025-06-10 13:20:40 [main] INFO  a.pages.PaymentHistoryPage - 
✅ All negative test cases executed.
